current_path,content_type,current_owner,target_path,target_owner,action,reason,risk,references_to_update,tests_required,manual_approval
"pyproject.toml","build and dependency metadata","repository","pyproject.toml","repository","keep","retain one manual project and build truth","medium","requirements.txt; README.md; release routine","metadata version test; build and wheel smoke test","required_before_dependency_policy_change"
"requirements.txt","environment dependency list","repository","requirements.txt","repository","review_manually","resolve drift with pyproject.toml and decide whether the retained file is manual input or a generated artifact","high","README.md; setup instructions","fresh environment install; import smoke test","required"
".pre-commit-config.yaml","local quality automation","repository",".pre-commit-config.yaml","repository","review_manually","current Windows-specific auto-fix commands are not a portable quality contract","medium","UPDATE_ROUTINES.md; developer setup","manual hook dry run on supported platforms","required_for_hook_change"
"[missing] .github/workflows/","CI configuration","none",".github/workflows/quality.yml","repository","review_manually","a restricted synthetic-data quality profile would improve reproducibility","medium","README.md; UPDATE_ROUTINES.md","CI parity test against Local Fast and Restricted profiles","required_for_ci_and_external_network"
"src/ma_core/","shared foundation package","ma_core","src/ma_core/","ma_core","keep","neutral contracts and compliance foundation are appropriate","low","module README","existing ma_core and compliance tests","not_required"
"src/ma_validation/","shared validation contract package","ma_validation","src/ma_validation/","ma_validation","keep","generic diagnostics and release decisions must remain domain-neutral","low","module README","existing validation tests; import contract test","not_required"
"src/ma_database/","database integration package","ma_database","src/ma_database/","ma_database","keep","target package already represents neutral persistence infrastructure","medium","alembic.ini; migrations; module README","database configuration and migration smoke tests","required_before_database_scope_change"
"src/ma_building/paths.py","building path helper","ma_building","src/ma_core/paths.py","ma_core","split","extract only workspace-root resolution and retain building-specific relative paths at the domain owner","high","ma_building imports; config examples; docs commands","path contract tests from checkout and explicit workspace root","required"
"src/ma_technical/paths.py","technical path helper","ma_technical","src/ma_core/paths.py","ma_core","split","extract only workspace-root resolution and retain technical-specific relative paths at the domain owner","high","ma_technical imports; config examples; docs commands","path contract tests from checkout and explicit workspace root","required"
"src/ma_zones/paths.py","zones path helper","ma_zones","src/ma_core/paths.py","ma_core","split","extract only workspace-root resolution and retain zone-specific relative paths at the domain owner","high","ma_zones imports; config examples; docs commands","path contract tests from checkout and explicit workspace root","required"
"src/ma_project/","project input domain","ma_project","src/ma_project/","ma_project","keep","clear domain owner and planned P011 completion path","low","P011; module README","existing and P011 contract tests","not_required"
"src/ma_weather/","weather input and analysis domain","ma_weather","src/ma_weather/","ma_weather","keep","cohesive specialist domain with existing compliance gate","low","P008; module README","weather unit and restricted fixture tests","not_required"
"src/ma_building/","building input domain","ma_building","src/ma_building/","ma_building","keep","cohesive owner for building model and construction data","low","P012; module README","building model and loader tests","not_required"
"src/ma_technical/validation.py","technical and cross-domain validation","ma_technical","src/ma_zones/validation.py","ma_zones","split","move only the zone-dependent checks because zones should validate their references to the approved technical revision","high","ma_technical imports; ma_zones exports; P013; P014","import-direction contract; technical and thermal-building regression tests","required"
"src/ma_technical/","technical systems domain","ma_technical","src/ma_technical/","ma_technical","keep","retain ownership of technical systems while removing reverse runtime dependency","medium","P014; module README","technical model revision and validation tests","not_required_for_keep"
"src/ma_zones/","zones and usages domain","ma_zones","src/ma_zones/","ma_zones","keep","retain transition ownership for building rooms and approved technical references","medium","P013; module README","zone and thermal-building contract tests","not_required_for_keep"
"src/ma_variants/parameter_catalog/models.py","parameter catalog models","ma_variants","src/ma_parameters/catalogs/parameters/models.py","ma_parameters","move","parameter contracts need one owner and currently create the ma_parameters to ma_variants cycle","high","imports; P015; P017","catalog schema tests; import-cycle test","required"
"src/ma_variants/parameter_catalog/importer.py","parameter catalog loader","ma_variants","src/ma_parameters/catalogs/parameters/importer.py","ma_parameters","move","the loader follows the parameter contract owner","high","imports; config paths; P015; P017","catalog loader tests; import-cycle test","required"
"src/ma_variants/parameter_catalog/__init__.py","parameter catalog compatibility facade","ma_variants","src/ma_variants/parameter_catalog/__init__.py","ma_variants compatibility adapter","keep","retain a tested reexport to the new ma_parameters owner for existing callers","medium","imports; deprecation note; P015; P017","old and new import identity tests; no reverse implementation import","required"
"src/ma_variants/option_catalog/models.py","option catalog models","ma_variants","src/ma_parameters/catalogs/options/models.py","ma_parameters","move","option definitions are parameter inputs consumed by variants","high","imports; P015; P017","catalog schema tests; import-cycle test","required"
"src/ma_variants/option_catalog/importer.py","option catalog loader","ma_variants","src/ma_parameters/catalogs/options/importer.py","ma_parameters","move","the loader follows the parameter contract owner","high","imports; config paths; P015; P017","catalog loader tests; import-cycle test","required"
"src/ma_variants/option_catalog/__init__.py","option catalog compatibility facade","ma_variants","src/ma_variants/option_catalog/__init__.py","ma_variants compatibility adapter","keep","retain a tested reexport to the new ma_parameters owner for existing callers","medium","imports; deprecation note; P015; P017","old and new import identity tests; no reverse implementation import","required"
"src/ma_parameters/services.py","parameter service coupling","ma_parameters","src/ma_parameters/services.py","ma_parameters","split","replace reverse imports with owned parameter contracts while preserving the service API","high","ma_parameters.__init__; callers; P015","ParameterSnapshot and preview tests; import contract test","required"
"src/ma_variants/preprocess.py","variant preprocessing service","ma_variants","src/ma_variants/preprocess.py","ma_variants","keep","variant preprocessing may consume the public ma_parameters snapshot contract","medium","imports; P017","baseline and preprocessing regression tests","not_required_for_keep"
"config/ma_variants/parameters/","parameter example configuration","ma_variants","config/ma_parameters/parameters/","ma_parameters","move","configuration should follow the canonical contract owner","medium","loader defaults; docs; tests","config load and backward-path warning tests","required"
"config/ma_variants/options/","option example configuration","ma_variants","config/ma_parameters/options/","ma_parameters","move","configuration should follow the canonical contract owner","medium","loader defaults; docs; tests","config load and backward-path warning tests","required"
"config/ma_variants/naming/","neutral naming profile configuration","ma_variants","config/ma_project/naming/","ma_project","move","ma_project owns the neutral naming profile while ma_variants only applies it","medium","loaders; docs; P017","config load and compatibility-path tests","required"
"src/ma_variants/naming/","variant name generation","ma_variants","src/ma_variants/naming/","ma_variants","keep","retain application of the ma_project naming profile inside the variant domain","low","ma_variants.__init__; P017","variant naming tests with a project-owned profile","not_required"
"src/ma_variants/selection/","variant selection","ma_variants","src/ma_variants/selection/","ma_variants","keep","selection remains a core variant responsibility","low","ma_variants.__init__; P017","variant selection tests","not_required"
"src/ma_variants/variant_manager/","variant generation","ma_variants","src/ma_variants/variant_manager/","ma_variants","keep","generation remains a core variant responsibility","low","ma_variants.__init__; P017","variant generation and counter tests","not_required"
"src/ma_variants/__init__.py","variant public facade","ma_variants","src/ma_variants/__init__.py","ma_variants","keep","expose the stable public variant contract without flattening internal packages","medium","P017; API docs","public facade and import contract tests","required_before_public_api_change"
"src/ma_variants/economic_analysis/","economic models and calculations","ma_variants","src/ma_economy/","ma_economy","move","economics already has a dedicated target domain","high","imports; config; docs/ma_variants/economic_model.md; P022","economic calculation schema import and export regression tests","required"
"config/ma_variants/economic/","economic example assumptions","ma_variants","config/ma_economy/","ma_economy","move","configuration should follow economic ownership","medium","loaders; docs; tests","config load and compatibility-path tests","required"
"src/ma_variants/ida_export/","IDA-specific export prototype","ma_variants","src/ma_export_simulation/adapters/ida_ice/","ma_export_simulation","move","concrete simulation export belongs behind the neutral export port","high","imports; config; P009; P018; compliance references","export contract golden test using synthetic data; compatibility facade test","required_after_equa_scope_review"
"config/ma_variants/export/","IDA export example configuration","ma_variants","config/ma_export_simulation/ida_ice/","ma_export_simulation","move","adapter configuration should follow the export owner","high","loader defaults; docs; compliance mapping","synthetic config validation and no-network export test","required_after_equa_scope_review"
"src/ma_variants/simulation_results/adapter.py","simulation result adapter","ma_variants","src/ma_import_simulation/adapter.py","ma_import_simulation","move","raw result import belongs to the neutral import boundary","high","imports; P009; P018; docs","synthetic import contract and provenance tests","required"
"src/ma_variants/simulation_results/models.py","simulation result models","ma_variants","src/ma_import_simulation/models.py","ma_import_simulation","move","normalized input-side result contracts belong to the neutral import boundary","high","imports; P009; P018; docs","schema and compatibility tests","required"
"src/ma_variants/simulation_results/metrics.py","analysis metrics","ma_variants","src/ma_analyse/","ma_analyse","move","metrics over normalized results belong to UI-neutral analysis","high","imports; reporting; docs","metric regression and end-to-end normalized-result tests","required"
"src/ma_variants/simulation_results/export.py","result export helper","ma_variants","src/ma_data_export/","ma_data_export","move","result packaging belongs to the dedicated export domain","medium","imports; docs; P026","export schema and deterministic golden tests","required"
"src/ma_variants/reporting/","variant report prototype","ma_variants","src/ma_reporting/","ma_reporting","move","report generation already has a dedicated target package","medium","imports; P025; docs","report contract and deterministic rendering tests","required"
"src/ma_variants/ui/","legacy variant user interface","ma_variants","src/ma_ui/streamlit_app/module_views/variants/","ma_ui","move","UI composition should not be owned by the variant domain","high","entry points; imports; docs commands; P027","UI service contract; Streamlit smoke tests; legacy entrypoint test","required"
"src/ma_variants/database/","variant persistence prototype","ma_variants","src/ma_database/","undecided_split_between_ma_database_and_ma_variants","review_manually","models and repository ownership must be separated without breaking Alembic history","high","alembic.ini; migrations; imports; configuration","migration upgrade downgrade smoke test on a disposable database; repository contract tests","required"
"src/ma_variants/material_catalog/","material catalog prototype","ma_variants","src/ma_variants/material_catalog/","undecided","review_manually","material data are deliberately cross-domain catalog data under Decision 8 and UD-006; code ownership needs a separate decision","high","TECHNICAL_DECISIONS Decision 8; UD-006; UD-012; imports; UI; config","synthetic catalog loader and ownership contract tests","required"
"src/ma_variants/system_catalog/","technical system catalog prototype","ma_variants","src/ma_technical/catalogs/systems/","ma_technical","move","system templates belong to the technical systems domain","high","imports; UI; config; local catalog paths","synthetic system catalog resolver and compatibility tests","required"
"src/ma_variants/product_catalog/","product catalog prototype","ma_variants","src/ma_variants/product_catalog/","undecided","review_manually","product data span building technical economy and assessment concerns","high","Decision 8; UD-006; UD-012; imports; config; data/catalogs","ownership-specific schema tests after decision","required"
"src/ma_variants/source_catalog/","source catalog prototype","ma_variants","src/ma_variants/source_catalog/","undecided","review_manually","source provenance spans domains and must not move to a generic dumping package","high","imports; config; compliance provenance","ownership-specific schema tests after decision","required"
"src/ma_variants/document_catalog/","document catalog prototype","ma_variants","src/ma_variants/document_catalog/","undecided","review_manually","document metadata must preserve the cross-domain data/catalogs decision","high","Decision 8; UD-006; UD-012; imports; config","ownership-specific schema tests after decision","required"
"config/ma_variants/materials/","material example configuration","ma_variants","config/ma_variants/materials/","undecided","review_manually","configuration ownership follows the separate cross-domain material catalog decision","high","Decision 8; UD-006; UD-012; loaders; docs","example config loader and ownership tests","required"
"config/ma_variants/systems/","system example configuration","ma_variants","config/ma_technical/systems/","ma_technical","move","technical system templates follow the technical domain owner","medium","loaders; docs; UI","config load and compatibility-path tests","required"
"config/ma_variants/products/","product example configuration","ma_variants","config/ma_variants/products/","undecided","review_manually","configuration ownership follows the separate product catalog decision","high","Decision 8; UD-006; UD-012; loaders; docs","example config loader and ownership tests","required"
"config/ma_variants/sources/","source example configuration","ma_variants","config/ma_variants/sources/","undecided","review_manually","source registry ownership remains cross-domain and undecided","medium","loaders; docs; compliance provenance","example config loader and ownership tests","required"
"config/ma_variants/documents/","document example configuration","ma_variants","config/ma_variants/documents/","undecided","review_manually","document registry ownership follows the existing cross-domain catalog decision","high","Decision 8; UD-006; UD-012; loaders; docs","example config loader and ownership tests","required"
"data/catalogs/","local catalog structure and placeholders","repository","data/catalogs/","repository cross-domain catalog","keep","Decision 8 and UD-006 keep product and material documents in a dedicated cross-domain catalog area; UD-012 excludes real contents from Git","high","TECHNICAL_DECISIONS Decision 8; UD-006; UD-012; .gitignore; data README","git tracked-file allowlist test; synthetic catalog smoke test","not_required"
".gitignore","repository exclusion policy","repository",".gitignore","repository","review_manually","add defense-in-depth rules for data/catalogs/materials products and sources while retaining only approved placeholders and examples; exclusion grants no processing right","high","TECHNICAL_DECISIONS Decision 8; UD-006; UD-012; data README; P032-W1","git check-ignore --no-index with synthetic catalog filenames; tracked allowlist test","required_in_guardrail_wave"
"data/ma_variants/exports/","versioned variant example outputs","ma_variants","data/ma_variants/exports/","undecided example or golden owner","review_manually","classify each human-facing example versus machine golden fixture before any path change","medium","docs links; tests; README","regeneration command and golden-schema tests","required"
"[missing] data/ma_simulation_setup/runs/<run_id>/","neutral simulation run workspace","none","data/ma_simulation_setup/runs/<run_id>/","ma_simulation_setup","no_action","create only with the first approved P018 run implementation","medium","P018; .gitignore; run manifest docs","run package integration and provenance tests","required_through_P018_slice"
"data/ma_analyse/ida_imports/","local proprietary simulation import area","ma_analyse","data/ma_import_simulation/local/","ma_import_simulation","move","align path ownership only after ignore coverage and object-specific rights are proven","high",".gitignore; compliance; loaders; data README","copy-checksum-reference dry run with synthetic files; git check-ignore","required"
"[missing] data/ma_import_simulation/local/","future local simulation import area","none","data/ma_import_simulation/local/","ma_import_simulation","exclude_from_git","protect the target before any path migration; Git exclusion grants no processing right","high",".gitignore; compliance; data README","git check-ignore with synthetic filenames only","required"
"data/ma_variants/ida_exports/","local proprietary simulation export area","ma_variants","data/ma_export_simulation/local/","ma_export_simulation","move","align path ownership only after ignore coverage and object-specific rights are proven","high",".gitignore; compliance; loaders; data README","copy-checksum-reference dry run with synthetic files; git check-ignore","required"
"[missing] data/ma_export_simulation/local/","future local simulation export area","none","data/ma_export_simulation/local/","ma_export_simulation","exclude_from_git","protect the target before any path migration; Git exclusion grants no processing right","high",".gitignore; compliance; data README","git check-ignore with synthetic filenames only","required"
"data/common/normen/current/","protected standards working area","common data","data/common/normen/current/","common compliance","exclude_from_git","tracked placeholders may remain but protected contents need defense-in-depth exclusion","high",".gitignore; norms README; compliance policy","git check-ignore with synthetic filenames only","required"
"data/common/normen/templates/","protected standards template area","common data","data/common/normen/templates/","common compliance","exclude_from_git","tracked placeholders may remain but protected contents need defense-in-depth exclusion","high",".gitignore; norms README; compliance policy","git check-ignore with synthetic filenames only","required"
"data/README.md","data layout documentation","repository","data/README.md","repository","review_manually","document ida_imports and the module-owned lifecycle consistently","low","module data READMEs; root README","documentation link and path existence checks","required_in_documentation_wave"
"README.md","repository entry documentation","repository","README.md","repository","review_manually","remove stale ma_analyse GUI path and obsolete command only after entrypoint verification","medium","pyproject scripts; docs commands","documented command smoke tests","required_in_documentation_wave"
"tests/","existing flat test suite","repository","tests/","repository","keep","avoid a high-noise test relocation before contract boundaries exist","low","test documentation","full pytest collection and suite","not_required"
"tests/test_project_agent_system.py","agent governance contract tests","project governance","tests/contracts/test_project_agent_system.py","project governance","move","becomes the first explicit architecture and governance contract group","low","test commands; skills README","focused pytest and full collection","required_in_test_structure_wave"
"migrations/","database schema history","ma_variants persistence and repository","migrations/","ma_database","review_manually","preserve revision identity while later aligning ownership; never renumber history","high","src/ma_variants/database; alembic.ini; pyproject","Alembic current upgrade and downgrade smoke tests on a disposable database","required_before_migration_edit"
"alembic.ini","Alembic configuration","repository with ma_variants persistence","alembic.ini","ma_database","review_manually","align configuration only with the separately approved persistence migration","high","migrations; src/ma_variants/database; pyproject","Alembic configuration smoke test on a disposable database","required_before_migration_edit"
"docs/project/architecture/","architecture truth and snapshots","project architecture","docs/project/architecture/","project architecture","keep","existing canonical path prevents a parallel docs/architecture truth","low","docs/project/architecture/README.md","relative-link check","not_required"
"docs/project/architecture/reviews/2026-07-15/","dated architecture audit","project architecture","docs/project/architecture/reviews/2026-07-15/","project architecture","no_action","retain as non-authoritative evidence snapshot","low","architecture README; P032","CSV and link validation","not_required"
"docs/project/decisions/","decision truth","project governance","docs/project/decisions/","project governance","keep","existing decision path prevents a parallel docs/decisions truth","low","project README; P032","relative-link and ADR status checks","not_required"
"[missing] Obsidian vault integration","external knowledge surface","none","[missing] Obsidian vault integration","project governance","review_manually","vault path direction backup and canonical-source rules are unknown","high","P031 OP-016; architecture docs","dry run on sanitized test vault only","required_for_every_external_write_scope"
"[missing] graphify-out/","generated dependency graph","none","graphify-out/","local generated artifact","exclude_from_git","graph output may expose inferred or protected relationships and must be reproducible","high",".gitignore; Graphify report; P031 OP-016","allowlist and sanitization contract tests","required_before_installation_or_run"
".agents/skills/","project workflow skills","project governance",".agents/skills/","project governance","keep","thin skills already route to canonical truths","medium","AGENTS.md; P031; skill README","project agent system contract tests","required_before_role_or_skill_change"
".codex/agents/","project agent roles","project governance",".codex/agents/","project governance","keep","the existing small role set is sufficient","medium","AGENTS.md; P031","project agent system contract tests","required_before_role_or_skill_change"
"[missing] research_measurements/EVAL-<id>/","research measurement package","P030","research_measurements/EVAL-<id>/","P030","no_action","retain the already planned P030 data truth and create it only with the first approved P030 implementation slice","medium","P030; README; .gitignore","research schema reproducibility and privacy tests","required_through_P030_slice"
"[missing] src/research_tools/","research measurement code","P030","src/research_tools/","P030","no_action","create only with the first approved P030 implementation slice","medium","P030; pyproject; docs","research model and comparison tests","required_through_P030_slice"
